,Daly,Gnangara,Robson,Temora,Tullochgorum,Weany,Yanco,Hamilton,Bishes,Bennets,Bullawarrie,Scotts Peak,BSC conservatively grazed (C3),Alice Mulga,BCS Brigalow Woodland (C1),BCS Heavily Grazed (C5),Borrowa,Litchfield
2019-01-10,0.14861348271369934,,0.4812878370285034,0.11967400461435318,0.3283655643463135,0.24183699488639832,0.07513909786939621,,,,0.05551205947995186,,0.31955742835998535,0.036108363419771194,0.32142749428749084,0.32142749428749084,0.1297502964735031,0.16639062762260437
2019-01-11,,0.10737074911594391,0.48901066184043884,0.203550323843956,0.3604526221752167,0.20520804822444916,0.07355629652738571,0.08682331442832947,0.07506100088357925,0.0651635229587555,0.08435056358575821,0.5387791395187378,0.22078196704387665,0.04904253035783768,0.2112950086593628,0.2112950086593628,0.37915003299713135,0.14129319787025452
2019-01-12,0.28243759274482727,0.05914797633886337,,,,,,,,,,,0.19152100384235382,0.0413699746131897,0.19241097569465637,0.19241097569465637,,0.11758039146661758
2019-01-13,0.2153862863779068,,0.4907625913619995,0.10077345371246338,0.24677510559558868,0.13067786395549774,0.07349792867898941,,0.05516717582941055,0.06098591163754463,0.07549024373292923,,0.1466207206249237,0.039844710379838943,0.14606985449790955,0.14606985449790955,0.19628776609897614,0.2212076634168625
2019-01-14,0.2625443935394287,0.08582204580307007,0.49657633900642395,0.07413824647665024,,0.10941500961780548,0.06987781822681427,0.09430843591690063,0.07690027356147766,0.07129916548728943,0.07459462434053421,0.5387791395187378,0.1160397008061409,0.05300276353955269,0.1095179095864296,0.1095179095864296,,0.26230889558792114
2019-01-15,,,0.48260498046875,,,0.07675425708293915,,,,,0.05547342076897621,,0.09190759062767029,0.037668462842702866,0.1009141355752945,0.1009141355752945,0.11773660033941269,
2019-01-16,0.2748492360115051,0.07754652202129364,,0.063505157828331,0.30254292488098145,,0.06776499003171921,0.07268990576267242,0.07820571959018707,0.0723210871219635,0.07251323014497757,,0.10076160728931427,,0.09553864598274231,0.09553864598274231,0.10160239785909653,0.28980010747909546
2019-01-17,0.25728052854537964,0.06024850532412529,0.4795936942100525,,,0.05544054135680199,,0.09572567790746689,0.06288430839776993,0.06543408334255219,,,,0.0402979701757431,,,,0.25235989689826965
2019-01-18,0.24236591160297394,,0.39957955479621887,0.1450679898262024,0.36294788122177124,0.07701487094163895,0.07421818375587463,,,,0.05487891286611557,,0.08809206634759903,0.034218914806842804,0.0814262107014656,0.0814262107014656,0.14164485037326813,0.2709026038646698
2019-01-19,,0.11626371741294861,0.47187361121177673,0.07445165514945984,0.41346773505210876,0.07029206305742264,0.06652607768774033,0.07693525403738022,0.06954067200422287,0.056362103670835495,0.0719323381781578,0.5387791395187378,0.09234163165092468,0.04699327051639557,0.09563228487968445,0.09563228487968445,0.09041109681129456,0.28284043073654175
2019-01-20,0.2244836390018463,0.08595133572816849,,,,,,,,,,,0.08030720800161362,0.043926335871219635,0.0795520693063736,0.0795520693063736,,0.271375447511673
2019-01-21,0.18584007024765015,,0.4901123046875,0.05686105042695999,0.2941870391368866,0.04180293530225754,0.06916621327400208,,0.0665353387594223,0.06254665553569794,0.08237212151288986,,0.09011921286582947,0.030954815447330475,0.08946816623210907,0.08946816623210907,0.06651424616575241,0.253995418548584
2019-01-22,0.15743272006511688,0.08800091594457626,0.47543901205062866,0.0789363905787468,,0.061817657202482224,0.12632352113723755,0.0806567519903183,0.07434062659740448,0.06644867360591888,0.09058117866516113,0.5387791395187378,0.0906454548239708,0.03792286664247513,0.07919812947511673,0.07919812947511673,,0.2554066479206085
2019-01-23,,,0.48726922273635864,,,0.02898900955915451,,,,,0.07238203287124634,,0.08330342918634415,0.04428202658891678,0.08424791693687439,0.08424791693687439,0.10255559533834457,
2019-01-24,0.17325018346309662,0.10451560467481613,,0.056340012699365616,0.2653421461582184,,0.07247956842184067,0.08071772009134293,0.07825708389282227,0.07114986330270767,0.07526704668998718,,0.09195735305547714,,0.07846768200397491,0.07846768200397491,0.06778611242771149,0.2587020993232727
2019-01-25,0.15522217750549316,0.07740387320518494,0.5434075593948364,,,0.03772707283496857,,0.08646451681852341,0.07286044210195541,0.06561791896820068,,,,0.05655889958143234,,,,0.2853257656097412
2019-01-26,0.1934029757976532,,0.5259355306625366,0.10016299039125443,0.323686808347702,0.05946367233991623,0.08690422028303146,,,,0.04973461106419563,,0.1076870933175087,0.04221213981509209,0.08739081025123596,0.08739081025123596,0.16508609056472778,0.33284616470336914
2019-01-27,,0.10264512896537781,0.5162869095802307,0.10972471535205841,0.3624984323978424,0.2446150928735733,0.09769405424594879,0.07023602724075317,0.08212105184793472,0.07870215177536011,0.0798419788479805,0.5387791395187378,0.09849023818969727,0.03617033734917641,0.1012052595615387,0.1012052595615387,0.10923833400011063,0.3541797995567322
2019-01-28,0.2108631134033203,0.07352347671985626,,,,,,,,,,,0.08166448771953583,0.04079144075512886,0.07821822166442871,0.07821822166442871,,0.32472848892211914
2019-01-29,0.18317802250385284,,0.5244792103767395,0.12774743139743805,0.27219855785369873,0.2819180488586426,0.084054134786129,,0.05975165590643883,0.050346557050943375,0.06327088922262192,,0.07588288187980652,0.023236965760588646,0.07187967002391815,0.07187967002391815,0.08607439696788788,0.2877745032310486
